,id,text_tweet,sentiment_score,sentiment_label,sentiment_language,user_profile
636,1289713660072402945,Pra namorar cmg vai ter q gostar de andar no shopping pra comprar roupa pq eu AMO,0.934774,positive,pt,gabilindx
639,1289713924619661312,RT @gabilindx: Pra namorar cmg vai ter q gostar de andar no shopping pra comprar roupa pq eu AMO,0.926406,positive,pt,bendia_clara
665,1289716414430027779,Quarta vou comprar roupa finalmente!,0.961665,positive,pt,_oesquerdomana_
679,1289718317867888640,@sundaexs Ainda hoje recebi umas botaaaas lindas no daily spin e consegui comprar 2 peças de roupa ( 1 cabelo e uma camisola),0.948765,positive,pt,ggukamour
680,1289718464416899073,"Comprar roupa da um ânimo né, pqp kkkk amo",0.820235,positive,pt,steggi_
714,1289723050041253889,Como é bom comprar roupa nova,0.957503,positive,pt,chrispluug6
720,1289723363728871424,"""Mãe relaxa que eu vou economizar""
Acabei de comprar 200 reais de roupa em brechó 😪🤧",0.816625,positive,pt,IsaaaSoar3s
728,1289724972961693696,"Preciso comprar roupas,mês que vem se Deus quiser eu vou fazer meu guarda-roupa inteiro !",0.803338,positive,pt,Ryan_Allveess
736,1289725908933206016,"RT @Brum_fernandaa: comprar roupa da uma paz tão grande, amo demais 🥰",0.994877,positive,pt,lorenanetto_
747,1289727472691326976,"Ain amo comprar roupa nova 
Comprar para os meus filhos então..
Fico toda boba 😍🤭",0.983394,positive,pt,analevita
764,1289729238870847488,"01/08/20
Day 137
Almoçamos pizza que sobrou de ontem
Saimos pra comprar sapato para a Mari para trabalhar, aproveitamos e comprando pijama novo tambem, é a roupa que mais estamos gastando ultimamente 😂
Joguei um pouco de P5R
Comemos espetinho de noite
Vimos mais desenho chines",0.836987,positive,pt,chrnus
780,1289731940958912513,"RT @Brum_fernandaa: comprar roupa da uma paz tão grande, amo demais 🥰",0.994877,positive,pt,natasha_bjs
789,1289732775298256896,"eu amo comprar com gente que abre qualquer negócio, vocês abrem as lojinhas e eu compro tudo kkkkk levam todo meu dinheiro com prata, roupa, lanche e etc🤣",0.951617,positive,pt,_yasdavid
791,1289732899860656128,"vou comprar outro guarda roupa kkk amém né, agr vai",0.804884,positive,pt,thuanefernand
797,1289733763740635136,vou falar igual aquelas patricinhas de filme: to doida pra comprar roupa 😍💄💄👕👕👖👖🦺👗👗👔👔🥿🥾👟👟👛👛,0.889521,positive,pt,letslovesyeri
801,1289734416374198274,"RT @Brum_fernandaa: comprar roupa da uma paz tão grande, amo demais 🥰",0.994877,positive,pt,emillylouca1
804,1289735020806987776,RT @mouta75: Comprar roupa é uma das cenas que me deixa bué feliz neste momento,0.938942,positive,pt,CNascimento123_
812,1289736094498480128,"e com planos de comprar mais roupa nos próx meses (ou melhor, próx fatura)",0.800727,positive,pt,ghoshinoo
823,1289736806288642049,"piei na vj hoje cedo só pra comprar roupa, aproveitei e matei a sdds da minha coroa 💖",0.926403,positive,pt,eueduardadias
869,1289742090407014402,melhor sensação é comprar roupa pprt,0.837147,positive,pt,catemelo_
872,1289742577789308929,"meninAs, me indiquem umas lojas online boa p comprar roupa pfvv",0.900538,positive,pt,luanacsv_
873,1289742660354207744,"Mano, eu quero um romance daqueles BEM BOIOLA, de fazer skin care juntos, ir cortar cabelo juntos, barbear juntos, comprar roupa junto, usar o mesmo cobertor, esses lomotif fofo de casal",0.915209,positive,pt,roberth_alisson
883,1289743738541989888,"Ter que comprar outro guarda-roupa vai ser foda, logo eu que sou ansiosa",0.894685,positive,pt,Digaoi_luh
896,1289746261994807296,amo ajudar a paola a comprar roupa 🥰,0.972395,positive,pt,_costalucas
914,1289748668455596033,"Preciso renovar meu guarda roupa!! E pretendo comprar apenas camisas de times europeus, além de algumas da NBA!! Sem faltar, é lógico, Um Novo Manto Sagrado!!!",0.808147,positive,pt,Danilodcc10
922,1289750105990594560,"Fiquei anos enrolando pra comprar a roupa, depois que eu compro a loja coloca ela em promoção KKK top",0.856557,positive,pt,lerezende_bc
929,1289751534465515521,"Fiz o orçamento do forro do meu quarto, já escolhi a cor que vou pintar e o guarda-roupa que vou comprar❤️❤️",0.988437,positive,pt,anaabeatr
933,1289752006924603399,"@dudsss_lima ahhh, vou ter que pensar miga.. Pq amo comprar roupa, calçado e precisava guardar dinheiro também, massss se eu paro de fazer a de fibra, minha unha fica curta pq é fraca, daí me incomoda sabe ☹️ 
Mas obrigadaaaaa pela ajuda amiga ❤️❤️❤️",0.819154,positive,pt,Beatriztbarbosa
947,1289754690498920449,amanhã eu vou comprar roupa finalmente,0.918673,positive,pt,deualoucanabia
954,1289755523282169856,"nada que eu ame mais do que comprar roupa, ta sendo minha felicidade toda semana",0.938562,positive,pt,alterisaa
955,1289755783945572353,"minha mãe gasta 300 reais em roupa de time e fica:😍😍🥰🥰🥰🥰😍😍
mais comprar roupas normais por 300 ela fica:😡😡😡🤬🤬🤬🤬🗣🤢😡",0.940452,positive,pt,yasminaugustaa
987,1289762464251355138,@FazDeContasX já vou comprar minha roupa rsrsrs,0.823048,positive,pt,beatrizzfdss
991,1289763011188551681,"Amo comprar roupa la na malu , as meninas sao um amor d pessoa👏😍",0.991862,positive,pt,ThaaiseFerreira
996,1289763969607987201,goiânia é o lugar de comprar roupa puts q pariu coisa linda,0.912302,positive,pt,jdaltroo
1003,1289765936115912704,RT @Sandrielly_12: Comprar roupa é muito bom,0.970887,positive,pt,guilimaf
1027,1289770454547197952,Quando eu for mãe vou comprar roupa de ursinho e dinossauro pra ver meus filhos pela casa vestindo elas,0.81036,positive,pt,gayshaking
1041,1289772061561245696,Ansiosa pra comprar roupa 😬😬,0.836208,positive,pt,ViicPereira22
1087,1289779338083069954,"RT @Brum_fernandaa: comprar roupa da uma paz tão grande, amo demais 🥰",0.994877,positive,pt,marcelle_angelo
1096,1289781041583005696,Aí nada mais gostoso do que comprar roupa e ainda por preços mais baratos!!!,0.917078,positive,pt,Alvs_Lea
